source,review,label
Grab,aplikasi yang selalu menindas drivernya ga jelas banget kasian drivernya cs bayar 19rb driver cuman dapet 9rb duh karepmu piye cs di peras kok driver malah tambah sengasara,0
Grab,maaf jd bintang 3 awalnya kebantu karna ada promo tp drivernya ga mau ambil dgn dalih jauh titiknya ga sesuai dgn pembayarannya kecewa bgt sih sm grab,1
Grab,2 bulan ini berat banget apk nya bkin ngelag hp yg ram 4gb ini apk ojek online apa yutub sih setiap buka kok malah otomatus mutar video ga jelas bikin berat,0
Grab,aplikasi udah bener sopir grab car nya sering gak bener kebiasaan malak mohon grab memberikan teguran kepada sopir sopir yg seperti itu,1
Maxim,maxim gak jelas kenapa penumpanh di turunkan di jalangak ramah banget cuma gara2 ongkos kecil nganter sampe gerbang perumahan dong kykgini kalitolong di sleksi drivernya,0
Maxim,ekonomis untuk aplikasi maxim penumpang maps nya masih kurang kumplit jadi untuk menentukan titik masih agak susah,1
Grab,sudah dapat driver grabcar yang dekat tiba2 dibatalkan oleh sistem grab kenapa grab tidak rela kalau pelanggan pakai promo tapi dapat driver yang jaraknya dekat,1
Grab,seperti hilang tanggung jawab aplikasi tidak menyediakan admin secara langsung untuk menanggapi keluhan pelanggan di pusat bantuan nya semua pesan itu robot yang tidak berguna admin nya tidak ada seolah tidak mau tanggung jawab dengan apa yang terjadi,1
Maxim,maxsim bagus tapi sayang nya nga ada fitur telpon buat driver sama buat poto klo di gojek ada tolong buat amit maxsim biar ada telpon donk,0
Grab,tolong dipertegas untuk mitra grab carnya saya pesan dari grab car hemat plus sampai xl hampir 2 jam di cancel terus sama driver,0
Maxim,percuma udah ada e walletnya tp driver masih maunya tunai klo bikin aplikasi jangan nanggung donggg,1
Maxim,driver nya pilih pilih hemmm padahal lagi di kejar waktu please lah jangan mandang deket jauh nya,1
Grab,tolong dong mapsnya di perbaikin padahal titiknya sdh sesuai tapi driver malah di puter sampe kewalahan cari alamat di app sebelah ga pernah ada driver kewalahan cari alamat,0
Grab,sering bgt ngegunain jasa grab ini tapi sekarang malah di buat kecewa karena banyak bgt oknum oknum grab yang suka cat calling dan suka ngegodain orang dengan cara menjijikan bahkan sampe ngajak ke hotel saya harap lebih diperhatikan lagi kesopanan para pekerjanya,0
Grab,sedikit kecewa sih pengalaman saya ada grabcar hemat lumayan tuh diskonnya tapi pelayanannya kurang memuaskan tolong dong pelayanannya di tingkatkan lagi pernah di bilang tidak enak sama drivernya di bilang minus lah rugi tapi kenapa di adain grab car hemat grab bike hemat,1
Grab,aplikasi terlalu beratentah derita apa yang ditanggung terutama mapsnnya terasa berat dan tak bergunapadahal sudah berapa banyak biaya layanan ke aplikasi yang dibebankan ke customertp tidak ada perbaikan ke arah yang lebih baiklancarentengmalah semakin ruwet,1
Grab,klo driver grabcar jngan seenak nya dong udah nunggu lama selalu di cancel sma driver nya seenak nya sajaa selaluu gtuu,1
Maxim,bagus aslinya tapi drivernya sering cancel jadi kasihan yang dapat driver yang jemputnya dari jauh saran aja khusus driver yg cancel padahal dekat dr titik harus dikasih hukuman pengurangan rating sebesar 05 trs kalau rating dibintang 3 diperlama dpt penumpang,1
Grab,ini driver kalau kalau kita pake promo biar murah malah gak ada yg mau ngepick kalau pun ada sengaja di lama lamain hadeh,1
Grab,pengen tak viralin sekalian untuk grab car yang dapet promo 10 ribu slalu di perlakuin ga baik custnya untuk ac lampu gada yg di nyalain gila,1
Grab,drivernya banyak yg tdk sopan tdk sabaran suka marah2 terutama driver yg sdh berumur terlalu merasa dibutuhkan pdhal sama2 kt membutuhkan tp dng begini kami uninstal lebih baik yg hijau sebelah,1
Grab,saya peke grab bike hemat tapi bayarnya 17000drivernya terima 10400 gila grab ga ngotak kasian drivernya saya kira driver nerima 15000,1
Grab,buruk saya tidak bisa menemukan rumah saya sudah saya cari cari tetap tidak ada tolong perbaiki mapnya,1
Maxim,terimakasih selain gercep juga ramah baru pertama kali make jasa gojek online dan g salah milih maxim jadi aplikasi,1
Grab,saya driver grab merasa tidak puas dengan map aplikasi bukanya kasih solusi pada kerjaan justru bikin stres driver maps selalu muter tidak jelas,1
Maxim,tolong driver car untuk wilayah kota kendarijangan suka naik kan hargadi aplikasi maxim tujuan ke kelurahan sebelah cuma 24 800rpsampai di tujuan jadi 27 ribukadang naik hampir 10 ribukami pengguna maxim jdi ragu menggunakan maxim car,0
Grab,sangat tidak nyaman di daerah saya banyak driver tapi saya pesan tidak ada yg merespon,0
Grab,driver b2260koe banyak ngeluhnya kalo ga punya jiwa melayani ga usah diambil jobnya udh minta tambahan terang2an penumpang disuruh keluar tengah jalan sakit itu driver,1
Grab,mntap krn anda anda perjln jd lncar dan tepat wktu trimz buat rekan2 grab ati2 d jln dan jgn lupa jaga kondisi,1
Grab,kenapa aplikasi saya tidak bisa tampilkan transportasi dan lain lain tdk seperti biasanya padahal sdh sy instal ulang,0
Maxim,aplikasi sampah driver nya urakan tidak ada perlindungan untuk konsumen penipuan argo driver muter2 ga jelas padahal rute cepat ada sengaja supaya biaya mahal mau di report tapi manajemen ribet sangat tidak praktis kalo bisa bintang 0,1
Grab,trm kasih udah menghtr sampek tujuan dangat puas sehat sehat ya pak semoga lancar untuk keluarga,1
Grab,berguna banget sih ini aplikasi kalau kita pulang kerja malam kita bisa nih mesan transportasi di sini terimakasih grab,1
Grab,mobil datang dalam tempo yang cepat dan tak terlalu lama menunggu pengemudinya ramah dan sangat membantu penumpang,1
Maxim,driver buruktarif tidak sesuai suruh tambah ongkosnya mending gak usah installmurah hanya diaplikasi real nya driver minta tambah,1
Maxim,pengemudi ade humaedi dengan motorcycle warna hitam nopol a5900nl selamat menikmati perjalanan anda rating 495 asik di ajak berbicara sopan dan ramah,1
Grab,sangat membantu saya untuk perjalanan di luar kota biaya nya relatif murah dan banyak promo nya terimakasih grab,1
Grab,jalan dari kost ke kantor udah selesai di cor tapi ini tarif nya masih tarif lama yang muter tolong dong di update,0
Maxim,terimakasih pak semoga sehat dan di lancarkan rezekinyaa amiinn sangat bagus musik yg bagus pengemudi dengan hati hati pengemudi sopan tiba dengan cepat bersih rapi,1
Maxim,saya kalau sudah di banda aceh kalau pakai ojek tetap maxim cara pakai mudah biaya pun lebih murah terimakasih,1
Grab,tolong peta utk konsumen di perbaiki lagi sering nyangkut peta nya jd gk ketahuan udah sampe mana driver jemput nganter mknan nya,0
Grab,grab tuh banyak diskon keren cma drivernya aja klo kita pke diskon untuk berpergian kurang bikin nyaman giliran kemablian nya kita kasih aja berubah raut wajahnya wkwk,1
Maxim,makasih ya buat mas nya orang nya ramah bngett kalo nge driver gak bakal nyesel deh sehat2 sekeluarga buat mas e,1
Maxim,klo sudah selesai mau buka chat nya lg ko ga bs ya kira gmn soalnya sy td ada brg ketinggalan ditaro didpn motor pas turun sy lupa mungkin driver jg lupa sy tdk tau,0
Grab,bisa tidak ya mulai menormalisasikan untuk tidak merokok di dalam kendaraan bau asap rokok itu susah hilangapalgi penumpang grabcar juga ada anak anakbumilorang tuabaik dalam kondisi sehat ataupun sakit please untuk para pengemudi dan konsumenhargai paru paru anda keluarga andadan penumpqng anda,1
Maxim,tolong mapsnyaa dipermudah min kadang aga susah search alamat sedik berat juga kita drag maps dan buka fitur foto di room chat agar memudahkan customer memberikan informasi kepada driver,1
Grab,tolong supir grab car nya di filter lagi ya ga pernah ada sopan santun sama sekali satu org pun,1
Maxim,drivernya parah penumpang disuruh bayar lebih padahal parkir dan tol sudah kami bayar tetap minta lebih dan alasannya buat biaya layanan niatnya pengen agak murah dari sebelah malah justru lebih mahal dari si biru,1
Maxim,aplikasinya ok sayang ada oknum drivernya gak proporsional menfcancel setelah penumpang naik dan membawa penumpang tidak melalui aplikasi sangat membahayakan,0
Maxim,coba tolong setiap bulannya dari pihak maxim ada pengecekan kendaraan drivernya terutama mobil saya 2x naik maxim mobil dlm keadaan kotor dan bau tidak sedap gak nyaman banget rasa mual saya slama di perjalanan cium aroma didalam mobil,1
Grab,menyediakan pelayanan publik yang menyenangkan baik driver yang ramah dan armada baik tetap semangat sukses berkah bagi semua,1
Maxim,baru tau sy klo maxim semurah ini klo sy mau pake maxim trus trimakasih untuk driver nya abang nya baik bgtnganter ke tempat tujuan dgn selamat,1
Grab,mksh bang udah di bantu itu klrga dr jakarta sedangkan saya org biasa ga py mobil tolong pihak grab di bantu bila penumpang masih klrga dan sy pesan grab dr rmh tolong di permudah,1
Maxim,ongkos murah tapi drivernya aneh2 minta di cancel begitu di cancel ternyata drivernya datang mintanya offline saja,0
Grab,terima kasih untuk pelayanan driver grabsemoga kwalitas pelayananya semakin baik dan semakin berkwalitasmampu memberikan kepercayaan dan kenyamanan customerterima kasih,1
Grab,tolong kalo seleksi drivernya minimal tahu lokasi kota yang diambil jangan mengandalkan titik sudah sesuai saja ga usah jadi driver kalo ga tahu lokasi,1
Maxim,aplikasi ini sangat baiktapi yang bikin jelek itu drive yang cara bicaranya tidak sopan dan tidak pantas untuk di dengaringin rasanya berhenti gunakan apalikasi initapi tidak semua driver yang gituini untuk beberapa driver saja,1
Maxim,terimakasih banyak untuk owner maxim dan seluruh teamnya semoga selalu sehatkuatslmtamanlancarbrhsil semakin sukses barokah dunia akhiratnya seluruhnya,1
Maxim,bintang 4 dulu karena masih ada beberapa hal yang harus ditingkatkan lagi maupun itu dari aplikasinya ataupun dari drivernya,1
Maxim,untuk motor bagus bgt hemat tapi untuk mobil saya sudah nunggu hampir 20 menit lebih tapi ga dapet padahal banyak driver di sekitar kalo gamau ambil ya di matiin ajh aplikasi,0
Grab,tlong dong yg tau gmn caranya pembayaran tunai ga bisa dipakai dicoba berulang kali ga bisa itu knp ya,0
Maxim,tolong dong kasih tau driver nya jaga kebersihan masa jaket nya bauk kaos kaki basah yang udah busuk saya nahan mual terus sampai akhir nya minta berhenti sebelum sampai tujuan mana hlem nya bauk juga sama banyak bulu kucing,1
Maxim,sangat membantu juara sekali ramah pertahankan driver seperti ini si saat yang lain minta cancel minta tambahan biaya yang ini malah nggk mau si bayar karena sama2 jualan online juga,1
Grab,grab kok akhir akhir ini layanan nya malah turun yapesan dgn tarif hemat 5 kali di batalkan driver perlu perbaikan ini,0
Maxim,info untuk management maxim untuk driver pakai aplikasasi yang mana yaa di playstore ada maxim driver dan taxsee driver mohon petunjuk,0
Grab,wahai customer yg budiman kalo kasih rate jangan tega kasihan driver kalo di kasih rate jellek langsung anyep ga sehari bermingguminggu kasihan kalo punya keluarga udah susah lu bikin susah lu bayar juga ga mahal pikirin keluargs driver juga jangan tega jadi manusia punya empati,1
Maxim,terima kasih sudah menyediakan aplikasi ojol yang murah dan membantu serta tidak segan memberi voucher kepada pelanggannya semoga sukses selalu,1
Maxim,aplikasi bodoh harga emang menentukan kualitas logika nya kalau driver dapat argo rendah yah pasti pelayanan kacau wajar sih mending aplikasi sebelah deh lebih mahal sedikit tapi pelayanan top,1
Grab,ui user interface nya sangat jelek mapnya gak bisa zoom inzoom out ketika driver otw lokasi penjemputan,0
Maxim,aplikasi gak guna jangan didownload ngak sesuai aplikasinya saya mau mencari tujuan ngak keluar sama sekali tidak jelas alamatnya,0
Maxim,enggaakkk bangettt masa katanya mencari pelaksana terdekat tapi kok nga ada udah itu di tolak semuanya lagi,0
Maxim,mudah pesan nya dan lebih murahdriver nya juga banyakselama ini belum dapat driver yang rese sih,1
Maxim,maxim sukabumi banyak yang nawar dari harga yang ditentukan mohon diadakan penilaian untuk driver lebih rinci agar tidak ada oknum seperti itu lagi,1
Maxim,kami driver tersiksa udah bayaran kecil salah penumpang dan penumpang laporin yg gak2 kami yang kena pbo aplikasi teraneh setidaknya ikutinlah gojek shoope lebih menjaga mitranya,1
Maxim,murah memang tapi klo di aplikasi ada tulisan segera akan tibadriver tiba lrbih dari 4 menit kecewa,1
Grab,apk bobrok capek bgt kalo mau cancel dipersulit bgt padahal lg laper tapi dikerjain sm toko yg ternyata udah ttp sama driver yg slowresp,1
Maxim,aplikasi nya selalu tidak akurag mrncari titik penjemputan dan tujuan harus nya pake gps yg bagus dong perbaiki gps nya biar banyak pengguna nya,1
Grab,tolong ya untuk grab tolong drivernya di wajibkan punya uang kembalian costumer jadi rugi kalo setiap hari nggak di kasih uang kembali dengan alasan nggak ada uang ribuan sesekali nggak masalah tapi kalo tiap hari ya mikir aja jadi males pake grab lagi,0
Maxim,kok driver maxim pada bawel ya ga pada santuy seperti driver go kalau mau kesejahteraan jangan jadi ojol yang udah ga ada pilihan mentok kerja di perusahaan atau usaha baim kalau mau hidup makmur,1
Maxim,baaiikkk bgt bapak nya ramah juga lebih murah aplikasi ini dri pada aplikasi ojek yg lain,1
Maxim,mantab pengemudi prancis limbong dengan honda mobilio warna hitam nopol bp1536dh selamat menikmati perjalanan anda rating 485,1
Maxim,murah cmn lebih nyebelin dr gojek kalau ga mau nerima jgn d terima udah nunggu driver g gerak2,1
Maxim,sangat membantu di saat butuh bepergian terimah kasih maxime semoga tambah sukses terimah kasih pak supir bikenya juga,1
Grab,ga perlu adain grabcar grabike kalau ujungnya supir ngeluh ke customer bukan soal apa nya jadi seolah kaya dipaksa untuk melibihi byr krna ga enak,1
Grab,selektif lagi dalam bermitra banyak sekali driver yang minta dibayar lebih kejadian pesen car dapat harga 14k dimintain 50k duluan boroboro tuh driver gerak gamau jalan dia malah nyuruh customer batalin mohon sekali mental opang kayak gitu ditindak karena udah banyak yg ngeluhin hal ini,0
Grab,alhamdulillah selalu dpt driver yg ramah cekatan dan selaau mengendarai kendaraan dg sgt hati2sehat sellau babang ojek gusti mberkahi,1
Maxim,selamat pagi semoga maxim lebih bagus lagi dari sebelumnya khususnya kami dipulau nias sangat terbantu dg adanya maximhanya sajasaya pengen lbh ditambahkan lagi seperti pembayaran jasa secara onlinemaximpay dan aman juga bagi kita tdk terjadi sesuatu hal,1
Maxim,tolong di cross cek driver atas nama novriza ramadhani argata motorcycle bewarna merah nopol h4533yq rating di apk 42 tolong dia sudah mengancam dan memeras saya saya ada bukti chatnya kejadian 23 februari 2025 sekitar pukul 2200 wib,0
Grab,driver nya sangat baik hati dan disiplin dan juga sangat berwibawa dan patuhi aturan per grabpan,1
Maxim,bpknya sabar dan baik menunggu ank sy yg jauh dr kotake bekasi muter2 nyari ank driver yg handal top bgt,1
Grab,kurang suka di cara pemilihan peta nya yang tidak bisa di atur dengan akuratmasa harus pasang pin di tempat yang harus ada di maps,0
Grab,driver nya baik karena pas hujan menyediakan jas hujan jadi perjalanan sy tidak terhambatjadi tepat waktu terima kasih semoga sehat selalu dapat rejeki banyak yang berkahi,1
Grab,saya pesen grabride dari sebelum hujan sampai hujan deras susah dapat driver 2 temen saya pesen goride sebelum hujan langsung datang apa aku beralih ke gojek aja grab nya saya uninstall,1
Grab,selama ini aman aman ajacuma kadang suka sebel klw pas masuk grab carkecium bekas driver habis ngerokok nafas jdi sesakgk nyaman jadinya dan ini sekarang kenapa aplikasi saya gk bisa bukaudh bbrp harieror terus,1
Maxim,anugerah dewantoro trima kasih banyak ya mas sangat membantu banget tahu banget rutenya pelayanan ramah good job mugi gusti tansyah maringi rejeki lancar ksehatan juga keselamatan aamiin,1
Grab,apknya si oke dan membantu bgt tp masi banyak driver yg gamau ngasih uang kembalian kaya 45rb pun kdg ga dikembaliin bahkan sering bgt ketemu driver yg minta double pdhl kita jg sesuai apk aja ga kemana mna lgi,1
Maxim,aplikasi ini sudah lama saya gunakan untuk pergi transportasi di sekitar jakarta harganya sangat ekonomis namun untuk map driver masih perlu ditingkatkan,1
Grab,layanan yg baik dari orang yg baik pula kita sangat suka dengan mbanya pula karna tlah kemudiian kami sampai di hotel dgn baik maaf jika didlam perjalanan sedikit merepotkan,1
Maxim,di mohon yaa maxim lebih di perbaiki lagi saya udah terlambat mau ke kampus ehh maximnya mencari pelaksana terdekat udah 2 jam saya nunggu minimal bgusin lagi kek saya ksih bintang 1,0
Grab,alkhamdulilah sopir nya baik semoga rezeki nya makin lancar berkah dan barokah nggeh serta sehat dan bahagia selalu bersama keluarga,1
Maxim,suka dapat driver yang ga ramah ngomong nya kasar memang ga semua tapi sering,1
Maxim,alhamdulilah selama menggunakan drive dari maxim sy mrasa puas syukran zakalahu namun sayang link blm bs di simpan sperti scara automact,1
Maxim,maxim tlong kalau mapnya ga bs akurat minimal edukasi drivernya liat catatan dari customer nya gara2 map brmsalah saya hmpir kelahi sama drivernya krn nyalahin saya kasi titik tujuan yg salah pdahal saya sudah ksi catatan tp ga dibaca,0
Maxim,sudah instal dan uninstall yang kesekian x nyapesan maxim car selalu ditolak ma drivernyapadahal di map terlihat banyak driver terdekat harga juga tiba berubah dari tarif awal tolong diperbaiki lg,1
Maxim,oke pengemudi abed nego banga dengan motorcycle warna merah nopol dn4712er selamat menikmati perjalanan anda rating 490,0
Maxim,saya senang dengan pelayanan maxim ojek online semoga harganya tetap terjangkau dan tetap mempertahankan kepercayaan dan kualitas pelayanan yg baik,1
Grab,alhamdulillah berkat ada nya grab ini sepupuh saya langganan saya engrab nya selalu pelayanan ramah baik terus updatkan cara pengguna aplikasi ini supaya mudah di meggunakan mudah di mengerti terima kasih,1
Maxim,mantab coi maxim murah bet murah driver nya juga cepet nyampe nya terus sampai ke tujuan dengan cepat dan selamat mantab maxim lebih bagus dari gojek,1
Grab,ini driver nya kurang ajar min minta tolong driver ini di briefingin atas nama henry situmorang plat no b 5286 kbu kalau bisa jangan sampe gara gara satu orang ini nama grab jadi jelek,0
Maxim,dapat driver engkong2 walaupun gemetar naeknya paling tidak maxim sudah mau memberi pekerjaan tidak memandang usiabuat engkong driversehat terus,1
Grab,customer yang platinum ya jangan dikasi ke driver yang bintang nya 49 dong gimana sih buat sistemnya,1
Grab,trmksh grab sudah membantu perjalanan kami terus tingkatkan layanan supaya pelanggan bisa nyaman aman ditunggu diskon2nya,1
Grab,mending grab kerjasama dengan blubet aja hemat maupun yang lain kita individu gabung di aplikasi gocar aja,1
Grab,hallo grabb saya pengguna setia grabb kenapa sekarang grabb jadi lelet memakan waktu dan loadingnya bener2 lama itu sangat menjengkelkan dan saya beberapakali pesen grabb car xl tapi mobil yang dateng hanya untuk 3 penumpang bagaimana ini grabb,0
Maxim,menurut ku sih worth it bgttt cuman utk akses lokasi ny masih kurang memadai tidak semua lokasi dapat di akses utk yg lain ny sudah bagus dan tarif ny pun sgttt ramah di kntong dpt brsaing good job maxim semoga makin sukses,0
Maxim,drivernya pada kaga jelas dan lelet juga masa gua udah sesusai titik di bilang nggak sesuai padahal udah berdiri di titik gua,0
Grab,alamat di maps susah bener ngatur nyaa tolong diperbaiki dong ngga ada pilihan buat cancel juga kalo lama2 gini kasian juga pihak driver grab jadi kekurangan penghasilan karena orang2 pindah aplikasi lain,0
Grab,pelayanannya tidak ramah baru pertama kali pakai grab dan kesan drivernya sangat buruk gabakal mau pakai grab lagi,1
Grab,tarif grabbike atau grabcar tanpa hematterlalu mahalsdgkan tarif di aplikasi driver ternyata sangatlah murahadilkah andamemberatkan pemesanmenyulitkan drivermenguntungkan andadrpd demikian kenapa anda tidak buat sistem tarif dr jarak driver brangkatkasian drivertengah mlm malah makin murahmikir,1
Grab,driver nya pada jorok semuanya jgn pesan disini dan driver nya naik ugal2an kalo dijln,1
Maxim,argonya murah dan terjangkau drivernya baik2 bgt bersih dan rapih driver maxim bisa tau lokasi saya padahl saya di stasiun banyak orang,1
Grab,aplikasi lu terlalu beratgolek yg mb nya sama saja ketika menginstal buka aplikasi nya itu gk lebay lemot kaya grabparah nih aplikasi bukan nya di kembangkan biar lancar di semua hp entengini malah bikin susah customer,1
Grab,driver sangat membantutapi kasian omset buat driver terlalu kecil semoga pihak grab sering kasih bonus buat driver,1
Maxim,hari ini saya memakai aplikasi maxim unt pertama kalinya alhamdulillah tdk perlu menunggu lama langsung dapat drivernya dijam sibuk meskipun aplikasi sebelah sampai bikin kesel dibatalin sopirnya ramah nyaman dan harga sangat murah dibanding yg lain terimakasih atas pelayanannya,1
Maxim,kenapa banyak driver gak mengerti gak hafal jalan emang google maps tidak selamanya membantu menyesatkan tapi paling tidak pihak maxim lebih memperketat lagi buat menyeleksi drivernya yang betul mengerti hafal jalan kalau perlu di adakan sekolah mengemudi lagi buat drivernya biar ngerti jalan,1
Maxim,pak sopir ramah dan sopan mengerti dengan penumpang ditempat titik jemput daerah pelabuhan terima kasih pak sopir yang baik hati tuhan memberkati,1
Maxim,untuk keamanan dan kenyamanan konsumen tolong di perhatikan bnyk akun driver yang memakai akun berbeda dengan kendaraan orang yang datang beda dengan data akun aplikasi orang plat nomor kendaraan beda grab sama gojek selalu sesuai ini maxim kenapa bisa seperti itu,0
Maxim,tolong pemilihan driver nya lebih diseleksi lagi laah orang tua atau aki kalo bisa dihold dulu udah 2x ngalamin dapet orang tua jalanya lelet ngantukan kagetan pula,0
Grab,sebagai seorang pengemudi faktor keselamatan adalah yg paling utama diperhatikan selanjutnya adalah kebersihan n kerapian kendaraan maupun driver nya,1
Maxim,makasih bapakkata anak saya diajak ngobrol seru bapak nyasehat selalu ya bapak amanah kerja nya lancar juga rejeki nyaaamiin,1
Grab,gabisa di batalin grab datang terus orang nya beda beda otomatis lempar driver lain padahal driver pertama yang lambat tidak ada respon selama 1 jam lebih akhirnya pake apk lain,0
Maxim,pengiriman cepat mudah di dapat drivernya juga baik sangat membantu dan biaya nya murah makasii y maxim,1
Grab,bunyi sound yg baru di aplikasi ini sangat mengganggu walaupun sdh dth drivernya tp soundnya tdk hilang,1
