source,review,label
Gojek,saya sangat kecewa terhadap aplikasi gojek karena aplikasi nya seperti mengalami error saya memesan gocar memang sedang macet dan di aplikasi awalnya tertulis nya 3 menit lagi dan tiba tiba berubah menjadi 10 menit dan ternyata ketika saya cek gocar nya sudah sampe di tujuan,0
Gojek,kenapa pas ujan kadang susah banget dapetin pesenen gajelas banget ni aplikasi gimana nanti orang kalo udah bilang ke suami atau ortu nya gausa jemput nanti aku gojek trs tiba tiba ujan dan ga dapet dapet pesenen aplikasi gajelas ini hapus aja mendingan,1
Gojek,boleh jujur tarif ongkir mahal bahkan setelah berlangganan gojek plus potongannya juga tidak seberapa bahkan jauh dibanding dg apk sebelah ini apk anak negeri harusnya lebih user friendly dalam beberapa aspek,1
Gojek,selektif lagi dalam bermitra banyak sekali driver yang minta dibayar lebih kejadian pesen car dapat harga 185k dimintain 50k duluan boroboro tuh driver gerak gamau jalan dia malah nyuruh customer batalin mohon sekali mental opang kayak gitu ditindak karena udah banyak yg ngeluhin hal ini,1
Maxim,biaya di aplikasi 25k pas sampe jd 29k di aplikasi drivernya isi e wallet lama masuknya isi 26k yang masuk cuma 22k dan ini perdana nyoba maxim tapi kesan pertama langsung bikin kecewa,0
Gojek,aplikasi paling gak guna makin ke sini driver sering cancel gak mau ambil dengan seribu alasan tidak ramah pengguna,1
Maxim,driver harus di pilih2 yg baik2 akhlaknya barusan dpt ojol sdh marah 2 minta ongkir 2x lipat gilaaaa,1
Gojek,cari driver susah ngga bisa cepat kaya dulu sistem semakin aneh it terlalu pintar jadi sulit cari driver,1
Maxim,recommended bintang 5 drivernya oke oke jempol 5 top markotop untuk pihak jasa aplikasi sarannya update fitur terkini supaya tidak ketinggalan dengan aplikasi sebelah good job maxim sukses teruss,1
Gojek,driver nya tidak bisa diandalkan semua posisi cepet mau telat tp suruh ganti driver terus ada yang makan lah ada yang inilah itulah,1
Gojek,malam paman gojek mau tanya soal akun syaa driver sampai dunia skrng tidak kunjung aktif dri tahun 2014 sampai skrng tdk aktif jga,0
Maxim,puas bgt pake maxim tengah malem butuh ojek yang lain susah buat login bertele2 maxim lgsg bisa pesan driver lgsg dpet tanpa tunggu lama drivernya good bgt dan buat mantau posisi drivernya juga keren bgt ngerasa aman saat mesenin org terdekat ojol dari maxim,1
Gojek,tolong banget kalo pas ujan drivernya mau pick saya selalu gabisa pakai gocar kalau wkt hujan karena gada yg mau ambil,1
Gojek,sering dapet driver manja padahal titik jemput 2km tapi di cancel terus udah 5 kali ada yang ga di bales waktu di chat ada yang nunggu lama padahal ga dateng dateng al hasil waktunya lama banget buat nunggu 1jam nunggu driver padahal lagi buru buru,0
Gojek,jelek bangettttt susah dpt gojek pdhl di sekitar banyak malah dapet yg jauh jauh jarang ada promo perjalanan dekt aja malah dimahal mahalin,1
Gojek,jangan beri ruang untuk saingan mu jadikan dirimu nomer 1 di indonesia jek stay in gojek arahan sedikit tolong kurangi pemasukan ke kantong pribadi anda jadi senantiasa costumer lebih murah dan mendapatkan perjalanan lebih baik aman dan nyaman,1
Gojek,gabisa login terus malah di suruh nggu 30 jam pdhl skrg udh laper banget pgn cb pesen makan di gojek waras,0
Gojek,gw maau cancel gegara ga dapat driver soalnya ujan udh nunggu 1 jam ga dapat dapat mndng gw nyari sndiri gw udh cancel katanya otw mana,0
Maxim,saya berlangganan maxim sudah ber tahun2 tapi saat ini tidak bisa update karena no hp hangusbagaimana caranya supaya bisa mengginakan jasa ojek maxim mohon infonya terimakasih,0
Gojek,sopir gocar rada belagudah tau pesan gocar yg xl ke tanya berapa orang dewasa 3 anak kecil 3 aja gak mau bawa sumpahin seret tuh driver rezeki nya,1
Gojek,mau download bukti transaksi kok gak ke download download sudah seminggu an begini padahal mw buat report perjalanan dinas tolong aplikasinya diperbaiki,0
Gojek,mau masuk akun disuruh verifikasi wajah gagal terus ga jelas nih gojek saya mau ada perlu jadi ga bisa ngapain,1
Maxim,bgus ramah trnyta gk semua driver tidak bersih dn rapihh wlaupun rta2 gk mngenk atribut lengkp,1
Gojek,kenapa klo pesen gocar selalu di cancelx ud dlm perjalanan di cancel sama driver mau pake hemat atau tidak sama aja apa karna ongkosnya murahparaah,1
Gojek,goride nya error pesen sekali yang datang dua pengemudi ini sangat merugikan orang maupun pengemudinya mohon di fix,0
Gojek,sumpah hari ini susah banget dapet gocar nya padahal lagi ngejar kereta udah nyangkut sama driver kirain lama bener mau jalan tau nya dah nunggu lama dia cancel,1
Maxim,makasih bapakkata anak saya diajak ngobrol seru bapak nyasehat selalu ya bapak amanah kerja nya lancar juga rejeki nyaaamiin,1
Gojek,makin kesini kebijakan buat castamer udah kaya kebijakan buat driver selalu di persulit tiap ada masalah,1
Gojek,ga jelas wifi kencang gk ada gangguan utk main game pun lancar giliran aplikasi ini blgnya internet mati terus internet gk stabil lah,0
Gojek,terimakasih atas respon nya dan bantuan nya bintang nya aku kasih 5 sukses terus untuk gojek,1
Gojek,lagi hujan dikit susah bgt dapat driver mau gojekgocar sampe nunggu hampir sejam buat dapat driver selalu dicancel sepihak padahal udah pilih opsi harga tanpa promo,0
Gojek,demiallah disaat butuh kayak gini bener2 driver nggk gerak sedih bngtt waktu deadline mepet juga sumpahh sakit hati bgttt,1
Gojek,potongan argo yang sangat fantastis ratarata 30 dari tarif yg dibayarkan pelanggan sungguh luar biasa kau jek,1
Gojek,sengaja bintang 5ni gojek lama lemot amat chat driver ceklis terus tau sampemau tracking map malah lemot ga jalan,1
Maxim,tolong dong kasih tau driver motor cuman di tinggal minjem duit hp di bawa kabur sama driver kejadian kamis sore naik dari pademangan ke pesing hp di bawa kabur,0
Gojek,khusus jember mobil kotor bau dan tidak nyaman tolong d ada cek fisik kendaraan secara berkala,1
Gojek,susah dapet driver gocar kalo cuaca lagi hujan atau saat posisi rute jauh sebaiknya dibenahi lagi,1
Gojek,apps bikin ga enak hati kadang driver udah datang tapi kita gajadi berangkat atau tiba tiba hujan dulu bisa si driver jalanin aja tanpa penumpang seengganya kita ga ada perasaan ga enak sekarang gabisa dan bikin driver jadi ngamuk ke customer,1
Gojek,tolong beri edukasi kepada driver2nya spy mmpunyai attitude dan sikap yang baiksopan dan lebih menghargai penumpangbersikaplah jujurmaka penumpangpun akan nyaman dan tidak segan2 untuk memberi uang tips kpd driver drivernya suka batalin sepihak banyak alasan,1
Maxim,driver nya mantap karena jln utam kena banjirtapi dengan lihainya cari jalan tikus akhirnya sampe tempat kerja terima kasih,1
Maxim,parah banget saya barusan diminta 10 ribu gara titik maxim menyesatkan driver males jadinya gamau pake aplikasi ini lagi trauma,0
Maxim,pengemudi ade humaedi dengan motorcycle warna hitam nopol a5900nl selamat menikmati perjalanan anda rating 495 asik di ajak berbicara sopan dan ramah,1
Gojek,driver banyak alesanya penuh biar bisa nambah layanan prioritas 3000 baru bisa dapat driver gini kok konsumen bener sebagian pada kabur kasian drivernya banyak yang nongkrong,1
Maxim,peta belum real time saat penentuan lokasi tidak ada titik lokasi sayapenumpang jadi penumpang mengarahkan titik secara manual dan bs berpotensi salah titik driver ok dan ramah,0
Gojek,kenapa chat dengan driver tidak bisa sudah sering seperti ini kalo di perbaiki saya kasih bintang 5,0
Gojek,bagus pelayanan nyabisa selalu diandalkan kalo kita pergi ke kota lain bingung jalan tinggal pake gojek,1
Gojek,bugs apk nya perbaiki donk udah 3 kali kejadian yg jemput nya doubel kasihan driver nya,0
Maxim,driver mobil mxim pads gak profesional apa lagi klo ujan apa lagi jauh deket aja gak mau ambil malah ngomonhin tarif klo mau mahal jangan di maxim pelanggan juga ngerti klo drivernya bener ma aplikas telek,1
Gojek,terkadang dpt notifikasi dr gojek dh gajian ngeledek aj kerja jg kagak motr kagak,1
Gojek,banyak mobildriver tapi nggak ada yang respon entah aplikasinya yanh kurang bagus atau memang drivernya yang tidak profesional,1
Maxim,saya sangat berterimakasih kepada pengemudi drivernya karena sangat ramahbaiksopan dan berhatihati dalam mengemudi kendaraan mobil,1
Maxim,terimakasih untuk yang buat aplikasi maxim yang sangat membantu para orangorang yang sudah cari transportasi tapi tolonglah untuk kedepan aplikasi kalau ada pelanggan mau daftar atau mau pakai jasa maxim tolong di sertakan foto terimakasih,1
Gojek,masak reviu akun spaylatter sudah lebih 6 bulan gelooo lu gojek mending hapus nih aplikasinggak guna banget,0
Gojek,padahal sy sudah pakai yg di prioritaskan tapi masih lama sekali dpt driver sampai saya harus bolos sekolah hari ini,1
Maxim,tlg buatkan fitur foto shg pelanggan bisa mengirimkan lokasi akurat ke driver sprti gab dan gek kasian cari2an terimakasih,1
